target,opt,policy,0 cs,0 cts,1 cs,1 cts,2 cs,2 cts,3 cs,3 cts,4 cs,4 cts,5 cs,5 cts,6 cs,6 cts,summary cs,summary cts
proftpd,O2,AT,3,1015$\pm$ 0,14,1015$\pm$ 0,35,1015$\pm$ 0,41,1015$\pm$ 0,17,1015$\pm$ 0,1,1015$\pm$ 0,1,1015$\pm$ 0,112,1015$\pm$ 0
proftpd,O2,COUNT*,3,131.0 $\pm$ 0.0,14,594.0 $\pm$ 0.0,35,839.0 $\pm$ 0.0,41,950.0 $\pm$ 0.0,17,1019.0 $\pm$ 0.0,1,1036.0 $\pm$ 0.0,1,1042.0 $\pm$ 0.0,112,860.93 $\pm$ 174.9
proftpd,O2,TYPE*,3,131.0 $\pm$ 0.0,14,558.57 $\pm$ 13.64,35,731.28 $\pm$ 28.91,41,780.8 $\pm$ 26.92,17,826.35 $\pm$ 41.63,1,806.0 $\pm$ 0.0,1,856.0 $\pm$ 0.0,112,727.95 $\pm$ 129.0
vsftpd,O2,AT,0,-,10,318$\pm$ 0,0,-,4,318$\pm$ 0,0,-,0,-,0,-,14,318$\pm$ 0
vsftpd,O2,COUNT*,0,-,10,177.0 $\pm$ 0.0,0,-,4,306.0 $\pm$ 0.0,0,-,0,-,0,-,14,213.85 $\pm$ 58.27
vsftpd,O2,TYPE*,0,-,10,134.0 $\pm$ 0.0,0,-,4,273.0 $\pm$ 0.0,0,-,0,-,0,-,14,173.71 $\pm$ 62.79
lighttpd,O2,AT,1,290$\pm$ 0,22,290$\pm$ 0,11,290$\pm$ 0,12,290$\pm$ 0,2,290$\pm$ 0,0,-,0,-,48,290$\pm$ 0
lighttpd,O2,COUNT*,1,19.0 $\pm$ 0.0,22,139.0 $\pm$ 0.0,11,261.0 $\pm$ 0.0,12,312.0 $\pm$ 0.0,2,336.0 $\pm$ 0.0,0,-,0,-,48,215.91 $\pm$ 83.03
lighttpd,O2,TYPE*,1,19.0 $\pm$ 0.0,22,119.0 $\pm$ 0.0,11,222.45 $\pm$ 11.45,12,250.83 $\pm$ 10.3,2,288.5 $\pm$ 19.5,0,-,0,-,48,180.64 $\pm$ 66.89
nginx,O2,AT,0,-,114,921$\pm$ 0,50,921$\pm$ 0,69,921$\pm$ 0,1,921$\pm$ 0,0,-,0,-,234,921$\pm$ 0
nginx,O2,COUNT*,0,-,114,306.0 $\pm$ 0.0,50,518.0 $\pm$ 0.0,69,870.0 $\pm$ 0.0,1,912.0 $\pm$ 0.0,0,-,0,-,234,520.19 $\pm$ 243.08
nginx,O2,TYPE*,0,-,114,295.0 $\pm$ 0.0,50,497.0 $\pm$ 0.0,69,840.0 $\pm$ 0.0,1,875.0 $\pm$ 0.0,0,-,0,-,234,501.34 $\pm$ 234.86
mysqld,O2,AT,3,9742$\pm$ 0,3429,9742$\pm$ 0,1102,9742$\pm$ 0,1105,9742$\pm$ 0,539,9742$\pm$ 0,159,9742$\pm$ 0,160,9742$\pm$ 0,6497,9742$\pm$ 0
mysqld,O2,COUNT*,3,180.0 $\pm$ 0.0,3429,6218.0 $\pm$ 0.0,1102,9719.0 $\pm$ 0.0,1105,12044.0 $\pm$ 0.0,539,12914.0 $\pm$ 0.0,159,13411.0 $\pm$ 0.0,160,13710.25 $\pm$ 77.94,6497,8715.96 $\pm$ 2827.94
mysqld,O2,TYPE*,3,180.0 $\pm$ 0.0,3429,6137.07 $\pm$ 2.39,1102,9077.76 $\pm$ 225.15,1105,10632.45 $\pm$ 432.59,539,11030.3 $\pm$ 374.66,159,10911.98 $\pm$ 175.03,160,11051.99 $\pm$ 268.5,6497,8041.52 $\pm$ 2118.28
postgres,O2,AT,53,6930$\pm$ 0,164,6930$\pm$ 0,152,6930$\pm$ 0,75,6930$\pm$ 0,75,6930$\pm$ 0,4,6930$\pm$ 0,3,6930$\pm$ 0,526,6930$\pm$ 0
postgres,O2,COUNT*,53,483.0 $\pm$ 0.0,164,3904.0 $\pm$ 0.0,152,5347.0 $\pm$ 0.0,75,6207.0 $\pm$ 0.0,75,6699.0 $\pm$ 0.0,4,6908.0 $\pm$ 0.0,3,7036.0 $\pm$ 0.0,526,4743.89 $\pm$ 1752.2
postgres,O2,TYPE*,53,483.0 $\pm$ 0.0,164,3498.25 $\pm$ 38.3,152,4369.82 $\pm$ 217.27,75,4931.64 $\pm$ 529.19,75,4880.5 $\pm$ 423.75,4,5069.5 $\pm$ 246.03,3,4787.0 $\pm$ 1.41,526,3867.06 $\pm$ 1293.56
memcached,O2,AT,0,-,0,-,3,133$\pm$ 0,0,-,0,-,0,-,0,-,3,133$\pm$ 0
memcached,O2,COUNT*,0,-,0,-,3,203.0 $\pm$ 0.0,0,-,0,-,0,-,0,-,3,203.0 $\pm$ 0.0
memcached,O2,TYPE*,0,-,0,-,3,160.0 $\pm$ 0.0,0,-,0,-,0,-,0,-,3,160.0 $\pm$ 0.0
node,O2,AT,9,20638$\pm$ 0,3301,20638$\pm$ 0,2634,20638$\pm$ 0,1930,20638$\pm$ 0,387,20638$\pm$ 0,159,20638$\pm$ 0,179,20638$\pm$ 0,8599,20638$\pm$ 0
node,O2,COUNT*,9,890.0 $\pm$ 0.0,3301,8253.0 $\pm$ 0.0,2634,14905.0 $\pm$ 0.0,1930,18489.0 $\pm$ 0.0,387,20134.0 $\pm$ 0.0,159,21053.0 $\pm$ 0.0,179,21440.79 $\pm$ 129.47,8599,13626.22 $\pm$ 4610.72
node,O2,TYPE*,9,890.0 $\pm$ 0.0,3301,8055.23 $\pm$ 15.42,2634,13881.05 $\pm$ 565.53,1930,15564.57 $\pm$ 817.38,387,16476.46 $\pm$ 1031.49,159,16542.33 $\pm$ 1146.62,179,17528.96 $\pm$ 1486.04,8599,12250.84 $\pm$ 3501.64
